name                                                 pre fit                        b-only fit                           s+b fit         rho
CMS_vhtt_8TeV_emt_fakeshape_fakes_bin_6        0.00 +/- 0.99    +0.18 +/- 0.97 (+0.19sig, 0.98)    +0.17 +/- 0.97 (+0.17sig, 0.98)       -0.03
CMS_vhtt_8TeV_emt_fakeshape_fakes_bin_7        0.00 +/- 0.99    +0.14 +/- 0.97 (+0.14sig, 0.98)    +0.14 +/- 0.97 (+0.14sig, 0.98)       -0.01
CMS_vhtt_8TeV_emt_fakeshape_fakes_bin_8        0.00 +/- 0.99    +0.29 +/- 0.96 (+0.29sig, 0.97)    +0.27 +/- 0.96 (+0.28sig, 0.97)       -0.03
CMS_vhtt_8TeV_emt_fakeshape_fakes_bin_9        0.00 +/- 0.99    -0.04 +/- 0.98 (-0.04sig, 0.99)    -0.04 +/- 0.98 (-0.04sig, 0.99)       +0.00
CMS_vhtt_8TeV_mmt_fakeshape_fakes_bin_1        0.00 +/- 0.99    -0.17 +/- 0.99 (-0.17sig, 1.00)    -0.17 +/- 0.99 (-0.17sig, 1.00)       +0.01
CMS_vhtt_8TeV_mmt_fakeshape_fakes_bin_2        0.00 +/- 0.99    +0.17 +/- 0.95 (+0.17sig, 0.96)    +0.16 +/- 0.95 (+0.16sig, 0.96)       -0.02
CMS_vhtt_8TeV_mmt_fakeshape_fakes_bin_3        0.00 +/- 0.99    -0.12 +/- 0.99 (-0.12sig, 1.00)    -0.12 +/- 0.99 (-0.12sig, 1.00)       -0.00
CMS_vhtt_8TeV_mmt_fakeshape_fakes_bin_4        0.00 +/- 0.99    -0.13 +/- 0.98 (-0.13sig, 0.99)    -0.14 +/- 0.98 (-0.15sig, 0.99)       -0.02
CMS_vhtt_8TeV_mmt_fakeshape_fakes_bin_5        0.00 +/- 0.99    -0.11 +/- 0.99 (-0.11sig, 1.00)    -0.10 +/- 0.99 (-0.11sig, 1.00)       +0.00
CMS_vhtt_8TeV_mmt_fakeshape_fakes_bin_6        0.00 +/- 0.99    +0.11 +/- 0.96 (+0.11sig, 0.97)    +0.09 +/- 0.96 (+0.09sig, 0.97)       -0.03
CMS_vhtt_8TeV_mmt_fakeshape_fakes_bin_7        0.00 +/- 0.99    -0.11 +/- 0.99 (-0.11sig, 1.00)    -0.11 +/- 0.99 (-0.11sig, 1.00)       +0.00
CMS_vhtt_8TeV_mmt_fakeshape_fakes_bin_8        0.00 +/- 0.99    *+0.14 +/- 1.10 (+0.14sig, 1.11)*    +0.12 +/- 1.09 (+0.12sig, 1.10)       -0.03
CMS_vhtt_8TeV_mmt_fakeshape_fakes_bin_9        0.00 +/- 0.99    *+0.32 +/- 0.93 (+0.32sig, 0.94)*    *+0.31 +/- 0.94 (+0.31sig, 0.95)*       -0.01
CMS_vhtt_ZZ                                    0.00 +/- 1.00    +0.04 +/- 0.99 (+0.04sig, 0.99)    +0.03 +/- 0.99 (+0.03sig, 0.99)       -0.03
CMS_vhtt_emt_fakes_7TeV                        0.00 +/- 1.00    +0.17 +/- 0.98 (+0.17sig, 0.98)    +0.14 +/- 0.98 (+0.14sig, 0.98)       -0.06
CMS_vhtt_emt_fakes_8TeV                        0.00 +/- 1.00    +0.23 +/- 0.97 (+0.23sig, 0.97)    +0.18 +/- 0.97 (+0.18sig, 0.98)       -0.10
