#                mX          -2 sigma          -1 sigma            Median          +1 sigma          +2 sigma   Obs. Limit [pb]
               110              2.11              2.81              3.89               5.4              7.18              2.81
               115              2.26              3.01              4.17              5.79               7.7              3.38
               120              2.43              3.24              4.48              6.23              8.28              3.59
               125              2.77              3.69              5.11               7.1              9.43              5.05
               130               3.2              4.26              5.91               8.2              10.9              6.49
               135              3.65              4.85              6.72              9.33              12.4              7.12
               140              4.22              5.62              7.78              10.8              14.4              7.92
               145              5.24              6.97              9.66              13.4              17.8              10.1
