#                mX          -2 sigma          -1 sigma            Median          +1 sigma          +2 sigma   Obs. Limit [pb]
               110              2.65              3.53              4.89              6.79              9.03              6.44
               115              3.03              4.03              5.58              7.75              10.3              6.86
               120              3.11              4.14              5.73              7.97              10.6              8.43
               125              3.04              4.05              5.61              7.79              10.4              8.06
               130              2.72              3.62              5.02              6.97              9.26              6.99
               135              2.74              3.64              5.05              7.01              9.31              7.14
               140               2.5              3.33              4.61               6.4              8.51              7.03
               145              2.06              2.74               3.8              5.27              7.01              5.73
