#                mX          -2 sigma          -1 sigma            Median          +1 sigma          +2 sigma   Obs. Limit [pb]
               110              1.66               2.2              3.05              4.24              5.64              2.72
               115              1.81               2.4              3.33              4.62              6.14              3.07
               120              1.89              2.51              3.48              4.84              6.43              3.64
               125              2.01              2.67               3.7              5.14              6.83              4.68
               130              2.02              2.68              3.72              5.17              6.86              5.04
               135              2.13              2.83              3.92              5.45              7.24              5.24
               140              2.08              2.76              3.83              5.32              7.06              5.46
               145              1.89              2.51              3.48              4.84              6.43              5.05
